id,row,area1,area1Id,area1Number,area2,area2Id,area2Number,area3,area3Id,area3Number,area4,area4Id,area4Number,giftbox,brick,glass,shovelProp,drillProp,bombProp
10,11,2_3,7_0_0_0_0_0_0_0_0_6,4_0_0_0_0_0_0_0_0_6,4_5,10_7_0_0_0_0_0_0_0_6,1_1_0_0_0_0_0_0_0_8,6_7,10_7_0_0_0_0_0_0_0_6,1_1_0_0_0_0_0_0_0_8,8_11,11_10_0_0_0_0_0_0_7_6,1_0_0_0_0_0_0_0_2_17,4,2,0,0,0,0
11,12,2_3,7_0_0_0_0_0_0_0_0_6,5_0_0_0_0_0_0_0_0_5,4_5,10_7_0_0_0_0_0_0_0_6,2_0_0_0_0_0_0_0_0_8,6_7,10_7_0_0_0_0_0_0_0_6,2_1_0_0_0_0_0_0_0_7,8_12,11_10_0_0_0_0_0_0_7_6,2_1_0_0_0_0_0_0_3_19,4,3,1,1,1,0
12,12,2_3,7_0_0_0_0_0_0_0_0_6,4_0_0_0_0_0_0_0_0_6,4_5,10_7_0_0_0_0_0_0_0_6,2_0_0_0_0_0_0_0_0_8,6_7,11_10_7_0_0_0_0_0_0_6,1_0_1_0_0_0_0_0_0_8,8_12,11_10_0_0_0_0_0_0_7_6,4_1_0_0_0_0_0_0_2_18,5,3,1,1,0,0
13,12,2_3,7_0_0_0_0_0_0_0_0_6,5_0_0_0_0_0_0_0_0_5,4_5,10_7_0_0_0_0_0_0_0_6,2_0_0_0_0_0_0_0_0_8,6_7,11_10_7_0_0_0_0_0_0_6,1_1_0_0_0_0_0_0_0_8,8_12,11_10_0_0_0_0_0_0_7_6,3_2_0_0_0_0_0_0_4_16,5,3,1,0,0,1
14,12,2_3,7_0_0_0_0_0_0_0_0_6,4_0_0_0_0_0_0_0_0_6,4_5,10_7_0_0_0_0_0_0_0_6,2_0_0_0_0_0_0_0_0_8,6_7,11_10_7_0_0_0_0_0_0_6,1_0_1_0_0_0_0_0_0_8,8_12,11_10_0_0_0_0_0_0_7_6,6_1_0_0_0_0_0_0_1_17,5,3,1,1,1,1
15,13,2_4,7_0_0_0_0_0_0_0_0_6,8_0_0_0_0_0_0_0_0_7,5_7,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,8_10,11_10_7_0_0_0_0_0_0_6,0_1_0_0_0_0_0_0_0_14,11_13,11_10_0_0_0_0_0_0_7_6,1_0_0_0_0_0_0_0_2_12,5,3,2,1,1,0
16,13,2_4,7_0_0_0_0_0_0_0_0_6,9_0_0_0_0_0_0_0_0_6,5_7,10_7_0_0_0_0_0_0_0_6,2_4_0_0_0_0_0_0_0_9,8_10,11_10_7_0_0_0_0_0_0_6,2_1_0_0_0_0_0_0_0_12,11_13,12_11_10_0_0_0_0_0_7_6,1_0_0_0_0_0_0_0_1_13,5,3,2,1,1,0
17,13,2_4,7_0_0_0_0_0_0_0_0_6,7_0_0_0_0_0_0_0_0_8,5_7,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,8_10,11_10_7_0_0_0_0_0_0_6,2_2_1_0_0_0_0_0_0_10,11_13,12_11_10_0_0_0_0_0_7_6,1_0_1_0_0_0_0_0_2_11,5,3,2,1,1,0
18,13,2_4,7_0_0_0_0_0_0_0_0_6,8_0_0_0_0_0_0_0_0_7,5_7,10_7_0_0_0_0_0_0_0_6,4_0_0_0_0_0_0_0_0_11,8_10,11_10_7_0_0_0_0_0_0_6,3_2_2_0_0_0_0_0_0_8,11_13,12_11_10_0_0_0_0_0_7_6,1_1_1_0_0_0_0_0_0_12,5,3,2,1,0,0
19,13,2_4,7_0_0_0_0_0_0_0_0_6,10_0_0_0_0_0_0_0_0_5,5_7,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,8_10,12_11_10_0_0_0_0_0_7_6,1_1_0_0_0_0_0_0_0_13,11_13,12_11_10_0_0_0_0_0_7_6,1_1_1_0_0_0_0_0_1_11,5,3,2,1,1,0
20,14,2_4,7_0_0_0_0_0_0_0_0_6,8_0_0_0_0_0_0_0_0_7,5_7,10_7_0_0_0_0_0_0_0_6,2_2_0_0_0_0_0_0_0_11,8_10,12_11_10_0_0_0_0_0_7_6,1_1_1_0_0_0_0_0_1_11,11_14,12_11_10_0_0_0_0_0_7_6,2_1_1_0_0_0_0_0_8_8,5,3,2,1,0,0
21,14,2_4,7_0_0_0_0_0_0_0_0_6,8_0_0_0_0_0_0_0_0_7,5_7,10_7_0_0_0_0_0_0_0_6,4_0_0_0_0_0_0_0_0_11,8_10,12_11_10_0_0_0_0_0_7_6,0_1_0_0_0_0_0_0_1_13,11_14,12_11_10_0_0_0_0_0_7_6,2_0_1_0_0_0_0_0_0_17,5,3,2,1,1,1
22,14,2_4,7_0_0_0_0_0_0_0_0_6,10_0_0_0_0_0_0_0_0_5,5_7,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,8_10,12_11_10_0_0_0_0_0_7_6,1_1_0_0_0_0_0_0_1_12,11_14,12_11_10_0_0_0_0_0_7_6,2_2_4_0_0_0_0_0_4_8,6,3,2,1,0,0
23,14,2_4,10_7_0_0_0_0_0_0_0_6,2_3_0_0_0_0_0_0_0_10,5_7,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,8_10,12_11_10_0_0_0_0_0_7_6,1_1_1_0_0_0_0_0_11_1,11_14,12_11_10_0_0_0_0_0_7_6,4_0_1_0_0_0_0_0_0_15,6,3,2,1,0,0
24,14,2_4,10_7_0_0_0_0_0_0_0_6,3_3_0_0_0_0_0_0_0_9,5_7,10_7_0_0_0_0_0_0_0_6,3_2_0_0_0_0_0_0_0_10,8_10,12_11_10_0_0_0_0_0_7_6,2_0_0_0_0_0_0_0_1_12,11_14,12_11_10_0_0_0_0_0_7_6,5_0_1_0_0_0_0_0_3_11,6,3,2,1,1,0
25,15,2_4,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,5_7,10_7_0_0_0_0_0_0_0_6,3_3_0_0_0_0_0_0_0_9,8_10,12_11_10_0_0_0_0_0_7_6,1_1_1_0_0_0_0_0_0_12,11_15,12_11_10_0_0_0_0_0_7_6,4_1_1_0_0_0_0_0_2_17,6,3,2,1,1,1
26,15,2_4,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,5_7,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,8_10,12_11_10_0_0_0_0_0_7_6,2_1_3_0_0_0_0_0_2_7,11_15,12_11_10_0_0_0_0_0_7_6,7_1_2_0_0_0_0_0_5_10,6,3,2,1,0,0
27,15,2_4,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,5_7,10_7_0_0_0_0_0_0_0_6,4_2_0_0_0_0_0_0_0_9,8_10,12_11_10_0_0_0_0_0_7_6,3_1_1_0_0_0_0_0_3_7,11_15,12_11_10_0_0_0_0_0_7_6,7_2_8_0_0_0_0_0_2_6,6,3,2,1,1,1
28,15,2_4,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,5_7,10_7_0_0_0_0_0_0_0_6,5_0_0_0_0_0_0_0_0_10,8_10,12_11_10_0_0_0_0_0_7_6,3_2_2_0_0_0_0_0_7_1,11_15,12_11_10_0_0_0_0_0_7_6,8_1_3_0_0_0_0_0_2_11,6,3,2,1,1,1
29,15,2_4,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,5_7,10_7_0_0_0_0_0_0_0_6,4_3_0_0_0_0_0_0_0_8,8_10,12_11_10_0_0_0_0_0_7_6,3_0_1_0_0_0_0_0_0_11,11_15,12_11_10_0_0_0_0_0_7_6,6_1_1_0_0_0_0_0_0_17,6,3,2,1,0,1
30,16,2_4,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,5_7,10_7_0_0_0_0_0_0_0_6,4_2_0_0_0_0_0_0_0_9,8_10,12_11_10_0_0_0_0_0_7_6,3_4_1_0_0_0_0_0_3_4,11_16,13_12_11_10_0_0_0_0_7_6,3_1_5_1_0_0_0_0_0_20,6,3,2,1,0,0
31,16,2_4,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,5_7,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,8_10,12_11_10_0_0_0_0_0_7_6,3_4_3_0_0_0_0_0_4_1,11_16,13_12_11_10_0_0_0_0_7_6,5_0_1_1_0_0_0_0_0_23,6,4,2,1,0,1
32,16,2_4,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,5_7,10_7_0_0_0_0_0_0_0_6,4_2_0_0_0_0_0_0_0_9,8_10,12_11_10_0_0_0_0_0_7_6,6_0_1_0_0_0_0_0_1_7,11_16,13_12_11_10_0_0_0_0_7_6,3_4_2_2_0_0_0_0_1_18,6,4,2,1,1,1
33,16,2_4,10_7_0_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_11,5_7,10_7_0_0_0_0_0_0_0_6,4_3_0_0_0_0_0_0_0_8,8_10,12_11_10_0_0_0_0_0_7_6,5_1_2_0_0_0_0_0_1_6,11_16,13_12_11_10_0_0_0_0_7_6,5_0_1_0_0_0_0_0_1_23,6,4,2,1,0,0
34,16,2_4,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_10,5_7,11_10_7_0_0_0_0_0_0_6,1_1_1_0_0_0_0_0_0_12,8_10,12_11_10_0_0_0_0_0_7_6,3_3_1_0_0_0_0_0_1_7,11_16,13_12_11_10_0_0_0_0_7_6,4_1_1_1_0_0_0_0_0_23,6,4,2,1,1,1
35,17,2_5,10_7_0_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_15,6_9,11_10_7_0_0_0_0_0_0_6,1_1_2_0_0_0_0_0_0_16,10_13,12_11_10_0_0_0_0_0_7_6,9_2_1_0_0_0_0_0_1_7,14_17,13_12_11_10_0_0_0_0_7_6,3_1_6_2_0_0_0_0_3_5,6,4,2,1,0,1
36,17,2_5,10_7_0_0_0_0_0_0_0_6,5_1_0_0_0_0_0_0_0_14,6_9,11_10_7_0_0_0_0_0_0_6,2_1_1_0_0_0_0_0_0_16,10_13,13_12_11_10_0_0_0_0_7_6,2_3_1_3_0_0_0_0_4_7,14_17,13_12_11_10_0_0_0_0_7_6,4_0_1_1_0_0_0_0_0_14,6,4,2,1,1,1
37,17,2_5,10_7_0_0_0_0_0_0_0_6,6_0_0_0_0_0_0_0_0_14,6_9,11_10_7_0_0_0_0_0_0_6,2_1_2_0_0_0_0_0_0_15,10_13,13_12_11_10_0_0_0_0_7_6,3_0_0_1_0_0_0_0_0_16,14_17,13_12_11_10_0_0_0_0_7_6,3_4_1_0_0_0_0_0_0_12,7,4,2,1,1,0
38,17,2_5,10_7_0_0_0_0_0_0_0_6,5_2_0_0_0_0_0_0_0_13,6_9,11_10_7_0_0_0_0_0_0_6,2_0_2_0_0_0_0_0_0_16,10_13,13_12_11_10_0_0_0_0_7_6,2_0_1_1_0_0_0_0_1_15,14_17,13_12_11_10_0_0_0_0_7_6,3_1_4_1_0_0_0_0_2_9,7,4,2,1,1,0
39,17,2_5,10_7_0_0_0_0_0_0_0_6,5_5_0_0_0_0_0_0_0_10,6_9,11_10_7_0_0_0_0_0_0_6,2_1_0_0_0_0_0_0_0_17,10_13,13_12_11_10_0_0_0_0_7_6,3_1_2_0_0_0_0_0_2_12,14_17,13_12_11_10_0_0_0_0_7_6,3_3_6_6_0_0_0_0_2_0,7,4,2,1,0,1
40,18,2_5,10_7_0_0_0_0_0_0_0_6,7_1_0_0_0_0_0_0_0_12,6_9,11_10_7_0_0_0_0_0_0_6,1_1_5_0_0_0_0_0_0_13,10_13,13_12_11_10_0_0_0_0_7_6,4_0_1_1_0_0_0_0_1_13,14_18,13_12_11_10_0_0_0_0_7_6,5_3_2_9_0_0_0_0_5_1,7,4,2,1,1,0
41,18,2_5,10_7_0_0_0_0_0_0_0_6,4_7_0_0_0_0_0_0_0_9,6_9,11_10_7_0_0_0_0_0_0_6,2_1_0_0_0_0_0_0_0_17,10_13,13_12_11_10_0_0_0_0_7_6,5_0_1_2_0_0_0_0_0_12,14_18,13_12_11_10_0_0_0_0_7_6,5_8_3_3_0_0_0_0_4_2,7,4,2,1,1,1
42,18,2_5,10_7_0_0_0_0_0_0_0_6,4_7_0_0_0_0_0_0_0_9,6_9,11_10_7_0_0_0_0_0_0_6,2_0_2_0_0_0_0_0_0_16,10_13,13_12_11_10_0_0_0_0_7_6,4_1_2_1_0_0_0_0_3_9,14_18,13_12_11_10_0_0_0_0_7_6,6_2_1_14_0_0_0_0_1_1,7,4,2,1,0,0
43,18,2_5,10_7_0_0_0_0_0_0_0_6,4_3_0_0_0_0_0_0_0_13,6_9,11_10_7_0_0_0_0_0_0_6,2_1_0_0_0_0_0_0_0_17,10_13,13_12_11_10_0_0_0_0_7_6,5_0_0_1_0_0_0_0_1_13,14_18,13_12_11_10_0_0_0_0_7_6,7_5_2_1_0_0_0_0_0_10,7,4,2,1,0,1
44,18,2_5,10_7_0_0_0_0_0_0_0_6,7_0_0_0_0_0_0_0_0_13,6_9,11_10_7_0_0_0_0_0_0_6,1_1_5_0_0_0_0_0_0_13,10_13,13_12_11_10_0_0_0_0_7_6,2_4_10_2_0_0_0_0_1_1,14_18,13_12_11_10_0_0_0_0_7_6,10_0_0_0_0_0_0_0_2_13,7,4,2,1,1,1
45,19,2_5,10_7_0_0_0_0_0_0_0_6,6_2_0_0_0_0_0_0_0_12,6_9,11_10_7_0_0_0_0_0_0_6,2_1_2_0_0_0_0_0_0_15,10_13,13_12_11_10_0_0_0_0_7_6,5_3_2_3_0_0_0_0_0_7,14_19,14_13_12_11_10_0_0_0_7_6,3_2_3_0_1_0_0_0_1_20,7,4,2,1,1,1
46,19,2_5,10_7_0_0_0_0_0_0_0_6,6_2_0_0_0_0_0_0_0_12,6_9,11_10_7_0_0_0_0_0_0_6,2_1_0_0_0_0_0_0_0_17,10_13,13_12_11_10_0_0_0_0_7_6,7_0_1_1_0_0_0_0_1_10,14_19,14_13_12_11_10_0_0_0_7_6,3_2_1_1_6_0_0_0_1_16,7,4,2,1,0,1
47,19,2_5,10_7_0_0_0_0_0_0_0_6,6_1_0_0_0_0_0_0_0_13,6_9,11_10_7_0_0_0_0_0_0_6,2_1_2_0_0_0_0_0_0_15,10_13,13_12_11_10_0_0_0_0_7_6,7_0_1_0_0_0_0_0_0_12,14_19,14_13_12_11_10_0_0_0_7_6,4_1_0_0_1_0_0_0_0_24,7,4,2,1,1,1
48,19,2_5,10_7_0_0_0_0_0_0_0_6,6_4_0_0_0_0_0_0_0_10,6_9,11_10_7_0_0_0_0_0_0_6,2_1_1_0_0_0_0_0_0_16,10_13,13_12_11_10_0_0_0_0_7_6,2_9_1_5_0_0_0_0_1_2,14_19,14_13_12_11_10_0_0_0_7_6,3_2_0_1_0_0_0_0_0_24,7,4,2,1,0,0
49,19,2_5,10_7_0_0_0_0_0_0_0_6,5_2_0_0_0_0_0_0_0_13,6_9,11_10_7_0_0_0_0_0_0_6,2_2_0_0_0_0_0_0_0_16,10_13,13_12_11_10_0_0_0_0_7_6,5_1_1_9_0_0_0_0_1_3,14_19,14_13_12_11_10_0_0_0_7_6,4_2_2_5_8_0_0_0_3_6,7,4,2,1,1,1
50,20,2_5,10_7_0_0_0_0_0_0_0_6,5_1_0_0_0_0_0_0_0_14,6_9,11_10_7_0_0_0_0_0_0_6,2_1_3_0_0_0_0_0_0_14,10_13,14_13_12_11_10_0_0_0_7_6,1_1_5_2_6_0_0_0_4_1,14_20,14_13_12_11_10_0_0_0_7_6,6_0_1_0_1_0_0_0_0_27,7,4,2,1,1,0
51,20,2_5,10_7_0_0_0_0_0_0_0_6,5_7_0_0_0_0_0_0_0_8,6_9,11_10_7_0_0_0_0_0_0_6,3_0_1_0_0_0_0_0_0_16,10_13,14_13_12_11_10_0_0_0_7_6,3_0_0_1_0_0_0_0_0_16,14_20,14_13_12_11_10_0_0_0_7_6,6_1_3_13_7_0_0_0_1_4,7,4,2,1,1,1
52,20,2_5,10_7_0_0_0_0_0_0_0_6,6_3_0_0_0_0_0_0_0_11,6_9,11_10_7_0_0_0_0_0_0_6,3_0_1_0_0_0_0_0_0_16,10_13,14_13_12_11_10_0_0_0_7_6,2_1_0_1_0_0_0_0_0_16,14_20,14_13_12_11_10_0_0_0_7_6,5_6_3_2_5_0_0_0_9_5,7,4,2,1,1,1
53,20,2_5,10_7_0_0_0_0_0_0_0_6,7_1_0_0_0_0_0_0_0_12,6_9,11_10_7_0_0_0_0_0_0_6,2_1_1_0_0_0_0_0_0_16,10_13,14_13_12_11_10_0_0_0_7_6,3_1_0_1_1_0_0_0_1_13,14_20,14_13_12_11_10_0_0_0_7_6,7_3_1_1_1_0_0_0_11_11,7,4,2,1,1,0
54,20,2_5,10_7_0_0_0_0_0_0_0_6,6_1_0_0_0_0_0_0_0_13,6_9,11_10_7_0_0_0_0_0_0_6,3_0_1_0_0_0_0_0_0_16,10_13,14_13_12_11_10_0_0_0_7_6,3_1_1_1_0_0_0_0_0_14,14_20,14_13_12_11_10_0_0_0_7_6,5_9_1_3_9_0_0_0_1_7,7,4,2,1,1,1
55,21,2_6,11_10_7_0_0_0_0_0_0_6,3_0_1_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,2_3_6_0_0_0_0_0_0_14,12_16,14_13_12_11_10_0_0_0_7_6,2_3_7_1_2_0_0_0_5_5,17_21,14_13_12_11_10_0_0_0_7_6,4_3_8_4_1_0_0_0_1_4,7,4,3,1,0,0
56,21,2_6,11_10_7_0_0_0_0_0_0_6,2_1_1_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,2_4_3_0_0_0_0_0_0_16,12_16,14_13_12_11_10_0_0_0_7_6,3_1_0_0_1_0_0_0_2_18,17_21,14_13_12_11_10_0_0_0_7_6,4_1_1_0_0_0_0_0_0_19,7,4,3,2,1,0
57,21,2_6,11_10_7_0_0_0_0_0_0_6,2_2_1_0_0_0_0_0_0_20,7_11,11_10_7_0_0_0_0_0_0_6,4_0_0_0_0_0_0_0_0_21,12_16,14_13_12_11_10_0_0_0_7_6,3_4_0_2_0_0_0_0_1_15,17_21,14_13_12_11_10_0_0_0_7_6,5_3_1_8_7_0_0_0_1_0,7,4,3,2,1,0
58,21,2_6,11_10_7_0_0_0_0_0_0_6,2_1_1_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,2_4_0_0_0_0_0_0_0_19,12_16,14_13_12_11_10_0_0_0_7_6,4_3_2_0_0_0_0_0_1_15,17_21,14_13_12_11_10_0_0_0_7_6,2_13_1_4_4_0_0_0_1_0,8,4,3,1,1,1
59,21,2_6,11_10_7_0_0_0_0_0_0_6,2_1_5_0_0_0_0_0_0_17,7_11,11_10_7_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_20,12_16,14_13_12_11_10_0_0_0_7_6,3_2_12_0_0_0_0_0_0_8,17_21,14_13_12_11_10_0_0_0_7_6,7_0_1_0_1_0_0_0_1_15,8,4,3,2,0,0
60,22,2_6,11_10_7_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_21,12_16,14_13_12_11_10_0_0_0_7_6,6_0_0_0_1_0_0_0_1_17,17_22,14_13_12_11_10_0_0_0_7_6,8_4_1_4_8_0_0_0_5_0,8,4,3,1,1,0
61,22,2_6,11_10_7_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,2_4_1_0_0_0_0_0_0_18,12_16,14_13_12_11_10_0_0_0_7_6,4_5_1_1_1_0_0_0_0_13,17_22,14_13_12_11_10_0_0_0_7_6,6_11_1_3_4_0_0_0_4_1,8,5,3,1,1,0
62,22,2_6,11_10_7_0_0_0_0_0_0_6,3_2_0_0_0_0_0_0_0_20,7_11,11_10_7_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_20,12_16,14_13_12_11_10_0_0_0_7_6,6_1_0_0_0_0_0_0_1_17,17_22,15_14_13_12_11_10_0_0_7_6,2_1_2_6_1_1_0_0_0_17,8,5,3,1,2,1
63,22,2_6,11_10_7_0_0_0_0_0_0_6,3_1_0_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,3_2_1_0_0_0_0_0_0_19,12_16,14_13_12_11_10_0_0_0_7_6,5_4_1_0_1_0_0_0_1_13,17_22,15_14_13_12_11_10_0_0_7_6,2_3_2_2_4_1_0_0_1_15,8,5,3,2,1,1
64,22,2_6,11_10_7_0_0_0_0_0_0_6,3_0_0_0_0_0_0_0_0_22,7_11,11_10_7_0_0_0_0_0_0_6,3_1_2_0_0_0_0_0_0_19,12_16,14_13_12_11_10_0_0_0_7_6,4_3_4_1_1_0_0_0_1_11,17_22,15_14_13_12_11_10_0_0_7_6,2_1_2_1_3_5_0_0_6_10,8,5,3,1,2,0
65,23,2_6,11_10_7_0_0_0_0_0_0_6,2_1_3_0_0_0_0_0_0_19,7_11,11_10_7_0_0_0_0_0_0_6,3_1_1_0_0_0_0_0_0_20,12_16,14_13_12_11_10_0_0_0_7_6,3_6_15_1_0_0_0_0_0_0,17_23,15_14_13_12_11_10_0_0_7_6,4_1_1_0_2_1_0_0_0_26,8,5,3,2,2,0
66,23,2_6,11_10_7_0_0_0_0_0_0_6,3_1_2_0_0_0_0_0_0_19,7_11,11_10_7_0_0_0_0_0_0_6,4_0_1_0_0_0_0_0_0_20,12_16,14_13_12_11_10_0_0_0_7_6,7_2_0_0_0_0_0_0_1_15,17_23,15_14_13_12_11_10_0_0_7_6,4_2_1_1_2_2_0_0_0_23,8,5,3,1,1,0
67,23,2_6,11_10_7_0_0_0_0_0_0_6,2_2_0_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,4_2_0_0_0_0_0_0_0_19,12_16,15_14_13_12_11_10_0_0_7_6,2_0_1_0_0_1_0_0_2_19,17_23,15_14_13_12_11_10_0_0_7_6,4_1_6_0_0_0_0_0_2_22,8,5,3,1,1,2
68,23,2_6,11_10_7_0_0_0_0_0_0_6,2_2_1_0_0_0_0_0_0_20,7_11,11_10_7_0_0_0_0_0_0_6,4_0_1_0_0_0_0_0_0_20,12_16,15_14_13_12_11_10_0_0_7_6,2_0_1_2_0_1_0_0_2_17,17_23,15_14_13_12_11_10_0_0_7_6,5_2_0_1_0_1_0_0_1_25,8,5,3,1,0,0
69,23,2_6,11_10_7_0_0_0_0_0_0_6,3_2_1_0_0_0_0_0_0_19,7_11,11_10_7_0_0_0_0_0_0_6,3_1_4_0_0_0_0_0_0_17,12_16,15_14_13_12_11_10_0_0_7_6,2_1_2_4_6_8_0_0_0_2,17_23,15_14_13_12_11_10_0_0_7_6,4_2_3_1_1_0_0_0_0_24,8,5,3,1,1,1
70,24,2_6,11_10_7_0_0_0_0_0_0_6,2_3_1_0_0_0_0_0_0_19,7_11,11_10_7_0_0_0_0_0_0_6,4_1_0_0_0_0_0_0_0_20,12_16,15_14_13_12_11_10_0_0_7_6,2_1_1_11_2_5_0_0_1_2,17_24,15_14_13_12_11_10_0_0_7_6,6_1_2_0_0_1_0_0_0_30,8,5,3,1,2,2
71,24,2_6,11_10_7_0_0_0_0_0_0_6,3_0_1_0_0_0_0_0_0_21,7_11,11_10_7_0_0_0_0_0_0_6,3_1_5_0_0_0_0_0_0_16,12_16,15_14_13_12_11_10_0_0_7_6,2_1_7_0_0_0_0_0_0_15,17_24,15_14_13_12_11_10_0_0_7_6,7_0_0_1_1_1_0_0_3_27,8,5,3,1,1,2
